date,trip_count,avg_fare,total_fare,avg_total_amount,total_revenue,avg_distance,avg_duration,avg_tip,avg_passengers
2026-01-01,106949,23.99168594376759,2565886.82,32.29844589477228,3454286.49,3.9500474992753554,15.36802634900747,2.305748347343126,1.4982172004500578
2026-01-02,93392,21.30729045314374,1989930.47,30.255472310262117,2825619.07,3.872088615727257,16.530161755467994,2.8366912583518933,1.434229470070325
2026-01-03,104502,20.939235612715546,2188192.0,29.22766023616773,3054348.95,3.7963602610476355,15.988866560767578,2.687687029913303,1.4633943756674446
2026-01-04,89906,22.035451805218784,1981119.33,30.57517952083287,2748892.09,4.302921050875359,15.844997367620996,2.7778299557315416,1.3818118981416025
2026-01-05,91511,21.69510550644185,1985340.8,30.722779775109,2811472.3,4.111411742850587,17.540486025359428,2.975984526450372,1.236057456880135
2026-01-06,101677,20.37748507528743,2071921.55,29.18512102048644,2967455.55,3.681467195137543,17.076540089367967,2.8476718431897083,1.2083109984893523
2026-01-07,106562,20.080358945965727,2139803.21,28.893350631557215,3078933.23,3.513837484281451,17.130425480002252,2.8539965466113624,1.1941830324825444
2026-01-08,112760,20.410295228804543,2301464.89,29.348185438098618,3309301.39,3.515403955303299,17.793506710417404,2.9317010464703794,1.2039430835973464
2026-01-09,116266,20.08211385959782,2334867.05,28.897441384411607,3359789.92,3.526994908227685,17.37546631574722,2.8066531918187607,1.253699207979524
2026-01-10,140695,19.6711858274992,2767637.49,27.546559721383137,3875663.22,3.2655338142791144,16.09262518213156,2.3631161732826325,1.3391420485260914
2026-01-11,111858,20.274720717338052,2267889.71,28.567083176884978,3195456.79,3.806435301900624,15.141608557277978,2.593332975737095,1.296489335430287
2026-01-12,106120,20.28933122879759,2153103.83,29.259401338107804,3105007.67,3.5994419525065964,16.90943538761151,2.9035482472672443,1.1901112957406368
2026-01-13,115974,20.196119733733422,2342224.79,29.18005363271078,3384127.54,3.393465776812044,17.146633584539064,2.9146099125666094,1.1765258626341208
2026-01-14,122238,20.099165071418057,2456881.74,29.11430283545215,3558874.15,3.394096843861974,16.811044710591904,2.916657667828335,1.1747820254862509
2026-01-15,132564,20.008552321897348,2652413.73,28.94410066081289,3836945.76,3.3540100630638787,17.204536173722378,2.8779935729157238,1.184034875272463
2026-01-16,125537,20.247259134757083,2541780.17,29.012685423420987,3642165.49,3.467178361757888,17.343814307070158,2.745537490938926,1.2439302295864036
2026-01-17,123988,19.086789850630705,2366532.9,26.822719779333482,3325695.38,3.3423495015646676,15.200500317235,2.254449140239378,1.3643964210629247
2026-01-18,115365,19.652899579595196,2267256.76,27.38585316170416,3159368.95,3.556837862436614,14.298185758245568,2.164784293329866,1.3566689673629795
2026-01-19,93476,21.126274979673926,1974799.68,30.361698831785702,2838090.16,3.9294862852496895,15.239396030353603,2.9705200265308744,1.2693834191539903
2026-01-20,122074,20.558061913265725,2509604.85,29.443149810770514,3594243.07,3.4013687599324998,17.461056954524853,2.826486229663974,1.1782655476651602
2026-01-21,122122,19.962000131016524,2437799.38,28.729321661944613,3508482.22,3.2744161576128787,17.20540552343831,2.7813771474427216,1.1714164366107453
2026-01-22,127953,20.08802552499746,2570323.13,28.931301571670847,3701846.83,3.2982201277031407,17.680057651377197,2.83372746242761,1.1832935175945245
2026-01-23,134182,19.66753036920004,2639028.56,28.216315750249663,3786121.68,3.2425963243952243,17.106933493315047,2.6066211563398967,1.2302732668494472
2026-01-24,140800,19.00871690340909,2676427.34,26.57696818181818,3742037.12,3.184137784090909,15.123245265151514,2.100825994318182,1.2997568082226352
2026-01-25,43503,22.285977059053398,969506.86,29.32777762453164,1275846.31,3.039820012412937,14.035020190178454,1.4759297059972876,1.321777122106219
2026-01-26,62942,21.746058275873025,1368740.4,30.54075084998888,1922295.94,3.6260439769946933,14.40741264444515,2.5468132566489783,1.2426436485441896
2026-01-27,112919,25.90263294928223,2924899.41,35.079381149319424,3961128.64,3.4531550049150277,21.043955696856447,2.9690686244121895,1.1805082078984632
2026-01-28,122692,24.811110422847452,3044124.76,33.88378435431813,4157269.27,3.3612608809050304,21.562782550342863,2.9469324813353763,1.1660433025135901
2026-01-29,133846,24.781230593368498,3316868.59,33.78982718945654,4522633.21,3.300110126563364,21.424575133611263,2.893650389253321,1.1747462147281487
2026-01-30,140704,23.569035208664996,3316257.53,32.21894253183989,4533334.09,3.2168152291335,20.105656792510047,2.6236298186263363,1.220732661220233
2026-01-31,140146,21.0973433419434,2956708.28,28.7876601544104,4034475.42,3.1833480085054155,16.52548830029636,2.13888972928232,1.312418285256599
2026-02-01,118911,21.803840435283533,2592716.47,29.855934354264953,3550199.01,3.6597790784704527,15.546291904589708,2.3507159976789365,1.2901866935371007
2026-02-02,105813,22.88024628353794,2421027.5,31.948956555432698,3380614.94,3.536184117263474,19.55321809859532,2.965225350382278,1.1783410079140104
2026-02-03,117207,22.838230566433747,2676800.49,31.81923545522025,3729437.13,3.3215718344467478,20.428905696758726,2.927838695641045,1.165745477016032
2026-02-04,122750,22.43264716904277,2753607.44,31.41329767820774,3855982.29,3.307557881873727,20.24313319755601,2.9364288391038698,1.165063595174409
2026-02-05,127456,22.636821099045946,2885198.67,31.743748744664828,4045931.24,3.367562845217173,20.347758572893127,2.9784739831785085,1.173175837006027
2026-02-06,126203,21.459503419094634,2708253.71,30.12542166192563,3801918.59,3.3886386219028073,19.096167153976797,2.692342654295064,1.2193743603435234
2026-02-07,149939,21.153434530042215,3171724.82,28.629580029211876,4292690.6,3.1406281887967773,15.955341394389272,1.9257273291138397,1.3074583981802945
2026-02-08,126222,22.697416377493624,2864913.29,30.486484606486982,3848065.06,3.7810975899605457,15.30033948123148,2.0774835607104944,1.2725269680973146
2026-02-09,105053,22.872984398351306,2402875.63,31.916490152589645,3352923.04,3.772261144374744,18.865835816207056,2.8899429811618895,1.1668195518280697
2026-02-10,111872,21.50445777316934,2405746.7,30.518277674485123,3414140.76,3.2974595072940507,18.927533997187265,2.9506074799771165,1.158803591058996
2026-02-11,121930,21.47610153366686,2618581.06,30.508545312884443,3719906.93,3.2468094808496675,19.151758112578257,2.9758114491921597,1.161258582930416
2026-02-12,134402,22.1468737072365,2976584.12,31.30365277302421,4207273.54,3.334756774452761,19.180347762682104,2.9741323789824556,1.1790107560961116
2026-02-13,131420,22.589034317455486,2968650.89,31.52681806422158,4143254.43,3.4546586516511946,19.782784076497745,2.791954268756658,1.2410796071831796
2026-02-14,129425,22.243233146610006,2878830.45,30.164760131350203,3904074.08,3.346889009078617,17.863174167793446,2.329034266949971,1.353730471775683
2026-02-15,110227,21.941835666397527,2418582.72,30.005894109428723,3307459.69,3.665577943698005,16.009609714498264,2.3651802190026037,1.349198389815163
2026-02-16,80928,21.822645561486755,1766063.06,31.383108689205223,2539772.22,4.06302441676552,15.211431766508502,3.185713597271649,1.2937616759009405
2026-02-17,100287,21.92766639743935,2199059.88,31.313365042328517,3140323.44,3.8492189416375004,18.308330425013544,3.126479204682561,1.2163204930662557
2026-02-18,113698,20.901144611162906,2376418.34,29.878883621523688,3397169.31,3.379242203029077,17.560907550411322,2.8973473587925906,1.1933999664972919
2026-02-19,118323,20.396631677695797,2413390.65,29.388235423375,3477304.18,3.4219189844747,17.474047452031023,2.986798086593477,1.2053625837903716
2026-02-20,120668,20.10777679252163,2426365.21,28.851690423310238,3481475.78,3.3208571452249145,17.30286281367057,2.8012691848708853,1.247026306166785
2026-02-21,132258,20.72354987978043,2740855.26,28.761974398524096,3804001.21,3.3357737906213614,15.83874321402108,2.480192880581893,1.3377327926419587
2026-02-22,83018,21.161926811053025,1756820.84,28.965209111277073,2404633.73,3.5380458454792936,14.003163169433137,2.224964465537594,1.292881805590777
2026-02-23,22815,20.93458470304624,477622.55,28.044475126013584,639834.7,3.028295419680035,13.105968295711886,1.2601349989042296,1.2858919285552792
2026-02-24,96115,20.445744680851064,1965142.75,29.24708536648806,2811083.61,3.1649185871091925,15.587800031212609,2.7307715757165893,1.1840012519027499
2026-02-25,114362,23.188741277697137,2651910.83,32.38696568790333,3703838.17,3.5222127105157304,18.3632188430889,3.0330515380983196,1.176815521732528
2026-02-26,124632,22.212532014249952,2768392.29,31.336957041530265,3905587.63,3.4446351659284935,18.649560439266534,2.988526461903845,1.1788755492945902
2026-02-27,128862,21.436622122891155,2762366.0,30.147236811472737,3884833.23,3.291746519532523,18.289318806164736,2.7257521224255403,1.223308573000656
2026-02-28,134004,21.574328452882003,2891046.31,29.520677591713678,3955888.88,3.304474120175517,16.466738803816803,2.397583281096087,1.3304460374352847
2026-03-01,108569,22.595747773305458,2453197.74,31.10720445062587,3377278.08,3.869395407528853,15.525290214824981,2.6970701581482746,1.2919112632550178
2026-03-02,106598,21.156830991200586,2255275.87,30.30688324358806,3230653.14,3.559850560048031,17.517733290805957,3.0552167020019136,1.1703349503884406
2026-03-03,125723,20.801360610230425,2615209.46,29.708093904854323,3734990.69,3.109229973831359,17.196867849690722,2.896931826316585,1.161094868434318
2026-03-04,118565,20.844647914645975,2471445.68,30.07968219963733,3566397.52,3.3436130392611645,17.837195631088434,3.1107856450048494,1.1607954839712051
2026-03-05,141927,22.411248458714688,3180761.26,31.520859033164935,4473660.96,3.195381992150894,18.08593232201531,2.9139596412240096,1.1751913046788747
2026-03-06,125294,20.745566986447873,2599295.07,29.715951202771084,3723230.39,3.3551273005890145,17.69952817639578,2.9136637029706134,1.2266689667069173
2026-03-07,127926,20.023975579631976,2561587.1,27.991407688820097,3580828.82,3.251882338226787,15.532711098603881,2.4816301611869362,1.3264185679531857
2026-03-08,111344,21.683553671504527,2414333.6,30.320172708004023,3375969.31,3.9550303563730425,16.46945532164583,2.7729437598792934,1.3002397836845059
2026-03-09,102743,22.120941572661884,2272771.9,31.59398031982714,3246060.32,3.8471586385447183,18.619842065477293,3.2055916218136513,1.1919947349527342
2026-03-10,121867,21.689322622202894,2643212.68,30.92818507060976,3769125.13,3.378443302945014,18.492741950924643,3.0823005407534443,1.1784531957674107
2026-03-11,125586,21.10943194305098,2651049.12,30.355684789705858,3812249.03,3.3090695618938417,17.941824062130067,3.110634704505279,1.1785791110155073
2026-03-12,149996,21.970046867916476,3295419.15,31.11130203472093,4666570.86,3.210426144697192,18.317879254557898,2.9674286647643937,1.1882520941086325
2026-03-13,137472,21.1723823033054,2910609.74,30.199571694599626,4151595.52,3.3825451728351954,17.67214584303228,2.9153523626629423,1.2414036341747865
2026-03-14,139457,20.26964275726568,2826743.57,28.303326043153085,3947096.94,3.230983887506543,15.560978652918104,2.47886789476326,1.345375372953794
2026-03-15,115669,21.77335258366546,2518501.92,30.16453587391609,3489101.7,3.7885744667975,15.558528070038932,2.6576048033613153,1.312022557044729
2026-03-16,106540,21.196276046555283,2258251.25,30.210833959076403,3218662.25,3.570155997747325,17.3895604154934,2.9500080720856015,1.1959059840158661
2026-03-17,121308,22.309591700464935,2706331.95,31.573641227289215,3830135.27,3.4530299732911267,19.174229646849344,3.12716564447522,1.1956897685096226
2026-03-18,137397,21.396291039833475,2939786.2,30.605733094609054,4205135.91,3.3402337751188163,18.047980547852816,3.062042839363305,1.1850014536996656
2026-03-19,141382,21.805571713513743,3082915.34,30.96827050119534,4378356.02,3.3727801275975726,17.952604763454094,3.0197162297887994,1.1978113187120523
2026-03-20,132337,21.76998926981872,2880975.07,30.674704655538513,4059398.39,3.497700945313858,16.47826181138558,2.7210514822007448,1.2475122315283191
2026-03-21,132206,21.250343327836863,2809422.89,29.309932151339577,3874948.89,3.418662541790842,15.576289654024778,2.4784453050542337,1.3332788635422794
2026-03-22,112844,22.60052045301478,2550333.13,31.244444542908795,3525748.1,3.9974837829215555,15.87961374404783,2.731240207720393,1.2998735092157572
2026-03-23,101744,21.273378479320648,2164438.62,30.294498938512344,3082283.5,3.7618140627457146,17.815503453111074,3.0478955024374903,1.1858994285167739
2026-03-24,113542,21.180061827341426,2404826.58,30.330637649504148,3443801.26,3.6146283313663665,18.21443195763095,3.0702212397174615,1.1784324924297123
2026-03-25,116511,21.145356318287543,2463666.61,30.382665671052518,3539914.76,3.587413892250517,18.328517908180345,3.1406474066826306,1.1783919859358583
2026-03-26,122955,21.4754567931357,2640514.79,30.698062380545725,3774480.26,3.5695436541824246,18.807454353218656,3.107342605018096,1.1944642444808096
2026-03-27,120589,21.05843542943386,2539415.67,30.15382024894476,3636219.03,3.6477424972427004,18.075580415018504,2.997530040053405,1.243607991439228
2026-03-28,130573,20.172993727646602,2634048.31,28.363805457483554,3703547.17,3.2936319147143744,16.351088663046728,2.626908013142074,1.3461063169153764
2026-03-29,106356,21.46851658580616,2283305.55,30.019953176125465,3192802.14,3.87116881041032,15.707707134529315,2.7964067847606153,1.3240449958813838
2026-03-30,96947,21.117563514085013,2047284.43,30.417762591931673,2948910.83,3.89084303794857,17.861133918532808,3.1664967456445274,1.2223840207749341
2026-03-31,109148,20.65804357386301,2254784.14,29.778276835122952,3250239.36,3.5957758273170373,17.945419369418893,3.076162824788361,1.2195427873393976
